version,specification,Task,before_g2_ac,before_g2_constraints,before_g2_goal,before_g2_input,before_g2_output,before_g3_constraints,before_g3_exception,before_g3_frs,before_g3_goal,before_g3_input,before_g3_invariants,before_g3_neg_req,before_g3_output,before_g3_tie_breaking,passed_tests_phase1,failed_tests_phase1,num_hidden_test_passed_phase1,num_hidden_test_failed_phase1,before_p_1,before_p_2,before_p_3,before_p_4,before_p_5,before_p_6,before_p_7,before_p_8,anon_id
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],10,23,yes,3.0,1.0,5.0,"[1, 2, 3, 8]",3.0,"[1, 2, 3]",1.0,S0001
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],12,21,yes,3.0,2.0,6.0,[8],3.0,[5],4.0,S0002
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC16_invalid_time_format;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],10,23,yes,4.0,1.0,6.0,"[1, 2, 3, 5]",2.0,"[1, Assumptions on when or what to do on internet]",4.0,S0003
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC23_empty_day_duration_fills_last_slot;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC14_event_full_day;test_TC15_negative_duration;test_TC16_invalid_time_format;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],5,28,yes,2.0,3.0,5.0,"[1, 2, 3]",3.0,"[1, 2, 3, 4]",3.0,S0004
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],13,20,yes,3.0,1.0,5.0,[5],2.0,[4],1.0,S0005
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],12,21,yes,4.0,3.0,4.0,[2],3.0,[3],3.0,S0006
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],10,23,yes,3.0,2.0,5.0,"[1, 2, 4, 6, 7, 8]",3.0,[3],3.0,S0007
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],13,20,yes,3.0,1.0,5.0,"[2, 3, 6]",3.0,[3],4.0,S0008
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],10,23,yes,4.0,1.0,5.0,"[3, 4, 6]",4.0,[3],4.0,S0009
G1A,G1,A,,,,,,,,,,,,,,,test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC16_invalid_time_format;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],10,23,yes,5.0,5.0,5.0,"[5, 6, 7]",5.0,[5],5.0,S0010
